Time FPS-0 FPS-1 FPS-2 FPS-3 FPS-4 FPS-5 FPS-6 FPS-7 FPS-8 FPS-9 FVS-0 FVS-1 FVS-2 FVS-3 FVS-4 FVS-5 FVS-6 FVS-7 FVS-8 FVS-9 FVT-0 FVT-1 FVT-2 FVT-3 FVT-4 FVT-5 FVT-6 FVT-7 FVT-8 FVT-9 FDS-0 FDS-1 FDS-2 FDS-3 FDS-4 FDS-5 FDS-6 FDS-7 FDS-8 FDS-9 SHD-0 SHD-1 SHD-2 SHD-3 SHD-4 SHD-5 SHD-6 SHD-7 SHD-8 SHD-9 SB-0 SB-1 SB-2 SB-3 SB-4 SB-5 SB-6 SB-7 SB-8 SB-9 PIN-0 PIN-1 PIN-2 PIN-3 PIN-4 PIN-5 PIN-6 PIN-7 PIN-8 PIN-9 WHB-0 WHB-1 WHB-2 WHB-3 WHB-4 WHB-5 WHB-6 WHB-7 WHB-8 WHB-9 WHT-0 WHT-1 WHT-2 WHT-3 WHT-4 WHT-5 WHT-6 WHT-7 WHT-8 WHT-9 CEP-0 CEP-1 BFS-0 BFF-0 BG-0 BML-0 BMS-0 ZL-0 BD-0 MA-0 SG-0 BC-0 ZG-0 PL-0 PS-0 ZM-0 ZS-0 PB-0 BB-0 BO-0 DL-0 DR-0 DC-0
0.000000e+00 1.216909e+00 4.449266e+01 1.109350e+02 1.666744e+02 1.987419e+02 2.159219e+02 1.969069e+02 1.958332e+02 1.272609e+02 8.206032e+01 3.200440e+05 1.282018e+05 3.033676e+04 7.169017e+03 1.980659e+03 6.477523e+02 2.369475e+02 9.193370e+01 3.666518e+01 1.477943e+01 1.892114e+03 2.391816e+03 1.063847e+03 3.776236e+02 1.201461e+02 3.573686e+01 1.097310e+01 3.541912e+00 1.333276e+00 4.451415e-01 4.575733e+03 1.219656e+04 1.275709e+04 8.071288e+03 4.491124e+03 2.785965e+03 1.659466e+03 8.540761e+02 4.536330e+02 2.798894e+02 3.636656e+04 3.876280e+04 2.901506e+04 1.943773e+04 1.271679e+04 7.684421e+03 4.395149e+03 2.456927e+03 9.633123e+02 7.521434e+02 4.058742e-02 6.777357e-02 1.483321e+01 6.856044e+00 3.136076e+00 1.451307e+00 6.975552e-01 3.474347e-01 2.074169e-01 1.319596e-01 2.882398e+01 6.925600e+01 8.278429e+01 7.894935e+01 6.995701e+01 5.806801e+01 4.837440e+01 3.991731e+01 3.142752e+01 2.859550e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.316544e+02 1.630870e+02 1.165547e+02 8.166397e+01 5.834239e+01 3.499523e+01 2.329603e+01 2.329604e+01 1.164802e+01 1.164803e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.038950e+07 4.155799e+07 0.000000e+00
1.000000e+00 1.216908e+00 4.447466e+01 1.108899e+02 1.666211e+02 1.986783e+02 2.158529e+02 1.968439e+02 1.957706e+02 1.272202e+02 8.203407e+01 3.200438e+05 1.282018e+05 2.809025e+04 7.048483e+03 1.971232e+03 6.466440e+02 2.367630e+02 9.189237e+01 3.665328e+01 1.477536e+01 1.892128e+03 2.391854e+03 1.063386e+03 3.774589e+02 1.200890e+02 3.572114e+01 1.096837e+01 3.540393e+00 1.332705e+00 4.449539e-01 4.575601e+03 1.219628e+04 1.274930e+04 8.064750e+03 4.487981e+03 2.784136e+03 1.658417e+03 8.535496e+02 4.533567e+02 2.797198e+02 3.636433e+04 3.875030e+04 2.900616e+04 1.942048e+04 1.270926e+04 7.681000e+03 4.393520e+03 2.456108e+03 9.630101e+02 7.519147e+02 4.058843e-02 6.777402e-02 1.483321e+01 6.856043e+00 3.136076e+00 1.451307e+00 6.975548e-01 3.474343e-01 2.074165e-01 1.319592e-01 2.882323e+01 6.925561e+01 8.278322e+01 7.894860e+01 6.995625e+01 5.806753e+01 4.837398e+01 3.991703e+01 3.142735e+01 2.859537e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.316793e+02 1.631002e+02 1.165564e+02 8.166287e+01 5.834160e+01 3.499495e+01 2.329592e+01 2.329592e+01 1.164800e+01 1.164801e+01 7.056125e-01 1.273548e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 1.222060e+00 2.077899e-04 2.079064e-04 2.078160e-04 2.077899e-04 1.222258e+00 7.055867e-01 7.056126e-01 1.222090e+00 1.222110e+00 1.543089e+00 6.187102e-04 2.077901e-04 1.040196e+07 4.156214e+07 7.058203e-09
2.000000e+00 1.216906e+00 4.445713e+01 1.108461e+02 1.665679e+02 1.986149e+02 2.157840e+02 1.967811e+02 1.957081e+02 1.271796e+02 8.200789e+01 3.200436e+05 1.282017e+05 2.645223e+04 6.949197e+03 1.963223e+03 6.456812e+02 2.365975e+02 9.185385e+01 3.664181e+01 1.477136e+01 1.892140e+03 2.391887e+03 1.062922e+03 3.772935e+02 1.200322e+02 3.570536e+01 1.096361e+01 3.538864e+00 1.332130e+00 4.447647e-01 4.575477e+03 1.219603e+04 1.274151e+04 8.058220e+03 4.484841e+03 2.782308e+03 1.657369e+03 8.530235e+02 4.530806e+02 2.795503e+02 3.636209e+04 3.873780e+04 2.899725e+04 1.940326e+04 1.270174e+04 7.677581e+03 4.391891e+03 2.455290e+03 9.627080e+02 7.516861e+02 4.058932e-02 6.777442e-02 1.483321e+01 6.856043e+00 3.136075e+00 1.451307e+00 6.975545e-01 3.474339e-01 2.074161e-01 1.319589e-01 2.882262e+01 6.925530e+01 8.278233e+01 7.894799e+01 6.995562e+01 5.806714e+01 4.837363e+01 3.991681e+01 3.142722e+01 2.859526e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.317008e+02 1.631118e+02 1.165577e+02 8.166185e+01 5.834087e+01 3.499470e+01 2.329582e+01 2.329581e+01 1.164798e+01 1.164799e+01 7.056133e-01 1.273549e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.079553e+00 2.077899e-04 2.080570e-04 2.078490e-04 2.077899e-04 2.078332e+00 7.084707e-01 7.062556e-01 2.079710e+00 2.079812e+00 2.761767e+00 1.313395e-03 2.077903e-04 1.041443e+07 4.156629e+07 7.058211e-09
3.000000e+00 1.216904e+00 4.443961e+01 1.108022e+02 1.665148e+02 1.985515e+02 2.157151e+02 1.967183e+02 1.956457e+02 1.271390e+02 8.198173e+01 3.200434e+05 1.282017e+05 2.499930e+04 6.852664e+03 1.955278e+03 6.447210e+02 2.364323e+02 9.181535e+01 3.663034e+01 1.476735e+01 1.892152e+03 2.391919e+03 1.062459e+03 3.771282e+02 1.199754e+02 3.568958e+01 1.095885e+01 3.537336e+00 1.331556e+00 4.445755e-01 4.575353e+03 1.219577e+04 1.273373e+04 8.051697e+03 4.481703e+03 2.780482e+03 1.656322e+03 8.524978e+02 4.528047e+02 2.793810e+02 3.635986e+04 3.872531e+04 2.898835e+04 1.938606e+04 1.269422e+04 7.674165e+03 4.390263e+03 2.454472e+03 9.624061e+02 7.514576e+02 4.059020e-02 6.777481e-02 1.483321e+01 6.856043e+00 3.136075e+00 1.451306e+00 6.975542e-01 3.474336e-01 2.074158e-01 1.319586e-01 2.882200e+01 6.925498e+01 8.278145e+01 7.894738e+01 6.995500e+01 5.806675e+01 4.837329e+01 3.991658e+01 3.142708e+01 2.859514e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.317223e+02 1.631233e+02 1.165590e+02 8.166082e+01 5.834015e+01 3.499444e+01 2.329572e+01 2.329570e+01 1.164796e+01 1.164797e+01 1.411230e+05 2.276726e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.772866e+00 2.077899e-04 2.082103e-04 2.078822e-04 2.077899e-04 2.771226e+00 7.119666e-01 7.069292e-01 2.773200e+00 2.773416e+00 4.974294e+00 2.859267e-03 2.077904e-04 1.042690e+07 4.157045e+07 7.058218e-09
4.000000e+00 1.216903e+00 4.442210e+01 1.107583e+02 1.664616e+02 1.984882e+02 2.156463e+02 1.966555e+02 1.955833e+02 1.270984e+02 8.195557e+01 3.200432e+05 1.282016e+05 2.370125e+04 6.758773e+03 1.947394e+03 6.437636e+02 2.362672e+02 9.177689e+01 3.661888e+01 1.476335e+01 1.892165e+03 2.391952e+03 1.061995e+03 3.769630e+02 1.199187e+02 3.567382e+01 1.095410e+01 3.535809e+00 1.330982e+00 4.443864e-01 4.575229e+03 1.219552e+04 1.272596e+04 8.045180e+03 4.478568e+03 2.778657e+03 1.655275e+03 8.519724e+02 4.525290e+02 2.792117e+02 3.635764e+04 3.871282e+04 2.897945e+04 1.936889e+04 1.268671e+04 7.670751e+03 4.388636e+03 2.453654e+03 9.621043e+02 7.512292e+02 4.059109e-02 6.777521e-02 1.483321e+01 6.856042e+00 3.136075e+00 1.451306e+00 6.975538e-01 3.474333e-01 2.074155e-01 1.319582e-01 2.882139e+01 6.925469e+01 8.278058e+01 7.894678e+01 6.995437e+01 5.806636e+01 4.837294e+01 3.991635e+01 3.142694e+01 2.859503e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.317439e+02 1.631348e+02 1.165604e+02 8.165980e+01 5.833943e+01 3.499419e+01 2.329562e+01 2.329559e+01 1.164794e+01 1.164795e+01 1.411225e+05 3.149711e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 3.333691e+00 2.077899e-04 2.083666e-04 2.079156e-04 2.077899e-04 3.332108e+00 7.162170e-01 7.076350e-01 3.334228e+00 3.334576e+00 9.027375e+00 6.421335e-03 2.077906e-04 1.043936e+07 4.157460e+07 7.058225e-09
5.000000e+00 1.216901e+00 4.440460e+01 1.107145e+02 1.664085e+02 1.984249e+02 2.155775e+02 1.965928e+02 1.955209e+02 1.270579e+02 8.192942e+01 3.200431e+05 1.282016e+05 2.253420e+04 6.667414e+03 1.939572e+03 6.428088e+02 2.361024e+02 9.173845e+01 3.660742e+01 1.475936e+01 1.892177e+03 2.391984e+03 1.061532e+03 3.767979e+02 1.198619e+02 3.565807e+01 1.094934e+01 3.534282e+00 1.330408e+00 4.441975e-01 4.575105e+03 1.219527e+04 1.271819e+04 8.038670e+03 4.475435e+03 2.776833e+03 1.654229e+03 8.514474e+02 4.522535e+02 2.790426e+02 3.635541e+04 3.870034e+04 2.897055e+04 1.935174e+04 1.267921e+04 7.667338e+03 4.387009e+03 2.452837e+03 9.618026e+02 7.510008e+02 4.059197e-02 6.777560e-02 1.483320e+01 6.856042e+00 3.136074e+00 1.451306e+00 6.975535e-01 3.474329e-01 2.074151e-01 1.319579e-01 2.882078e+01 6.925439e+01 8.277970e+01 7.894617e+01 6.995375e+01 5.806597e+01 4.837259e+01 3.991613e+01 3.142680e+01 2.859492e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.317654e+02 1.631463e+02 1.165617e+02 8.165877e+01 5.833870e+01 3.499393e+01 2.329552e+01 2.329548e+01 1.164792e+01 1.164793e+01 1.411221e+05 3.909400e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 3.787665e+00 2.077899e-04 2.085259e-04 2.079492e-04 2.077899e-04 3.786214e+00 7.213979e-01 7.083746e-01 3.788415e+00 3.788901e+00 1.653032e+01 1.495388e-02 2.077907e-04 1.045183e+07 4.157876e+07 7.058232e-09
6.000000e+00 1.216899e+00 4.438710e+01 1.106707e+02 1.663554e+02 1.983616e+02 2.155087e+02 1.965300e+02 1.954585e+02 1.270173e+02 8.190328e+01 3.200429e+05 1.282016e+05 2.147897e+04 6.578486e+03 1.931811e+03 6.418566e+02 2.359377e+02 9.170003e+01 3.659597e+01 1.475536e+01 1.892189e+03 2.392017e+03 1.061070e+03 3.766328e+02 1.198053e+02 3.564232e+01 1.094459e+01 3.532756e+00 1.329835e+00 4.440086e-01 4.574982e+03 1.219502e+04 1.271043e+04 8.032167e+03 4.472305e+03 2.775011e+03 1.653184e+03 8.509226e+02 4.519781e+02 2.788735e+02 3.635318e+04 3.868786e+04 2.896166e+04 1.933462e+04 1.267171e+04 7.663928e+03 4.385384e+03 2.452020e+03 9.615011e+02 7.507726e+02 4.059286e-02 6.777600e-02 1.483320e+01 6.856042e+00 3.136074e+00 1.451305e+00 6.975531e-01 3.474326e-01 2.074148e-01 1.319575e-01 2.882017e+01 6.925410e+01 8.277883e+01 7.894557e+01 6.995313e+01 5.806558e+01 4.837225e+01 3.991590e+01 3.142667e+01 2.859481e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.317870e+02 1.631578e+02 1.165630e+02 8.165775e+01 5.833798e+01 3.499368e+01 2.329542e+01 2.329537e+01 1.164790e+01 1.164791e+01 1.411216e+05 4.570497e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 4.155281e+00 2.077900e-04 2.086883e-04 2.079829e-04 2.077900e-04 4.153932e+00 7.277276e-01 7.091500e-01 4.156242e+00 4.156866e+00 3.059063e+01 3.621308e-02 2.077909e-04 1.046430e+07 4.158291e+07 7.058240e-09
7.000000e+00 1.216898e+00 4.436961e+01 1.106269e+02 1.663024e+02 1.982983e+02 2.154399e+02 1.964673e+02 1.953961e+02 1.269768e+02 8.187715e+01 3.200427e+05 1.282015e+05 2.052002e+04 6.491893e+03 1.924110e+03 6.409069e+02 2.357732e+02 9.166164e+01 3.658453e+01 1.475136e+01 1.892202e+03 2.392049e+03 1.060607e+03 3.764678e+02 1.197486e+02 3.562658e+01 1.093984e+01 3.531231e+00 1.329261e+00 4.438198e-01 4.574858e+03 1.219476e+04 1.270267e+04 8.025670e+03 4.469177e+03 2.773190e+03 1.652139e+03 8.503983e+02 4.517029e+02 2.787046e+02 3.635095e+04 3.867539e+04 2.895277e+04 1.931753e+04 1.266422e+04 7.660520e+03 4.383759e+03 2.451203e+03 9.611996e+02 7.505444e+02 4.059374e-02 6.777639e-02 1.483320e+01 6.856041e+00 3.136074e+00 1.451305e+00 6.975528e-01 3.474322e-01 2.074144e-01 1.319572e-01 2.881956e+01 6.925380e+01 8.277795e+01 7.894496e+01 6.995250e+01 5.806519e+01 4.837190e+01 3.991568e+01 3.142653e+01 2.859470e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.318085e+02 1.631693e+02 1.165644e+02 8.165672e+01 5.833726e+01 3.499342e+01 2.329532e+01 2.329526e+01 1.164788e+01 1.164789e+01 1.411211e+05 5.149721e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 4.452967e+00 2.077900e-04 2.088538e-04 2.080169e-04 2.077900e-04 4.451803e+00 7.354758e-01 7.099629e-01 4.454130e+00 4.454886e+00 5.731204e+01 9.110419e-02 2.077910e-04 1.047676e+07 4.158707e+07 7.058247e-09
8.000000e+00 1.216896e+00 4.435213e+01 1.105831e+02 1.662493e+02 1.982350e+02 2.153712e+02 1.964046e+02 1.953338e+02 1.269363e+02 8.185103e+01 3.200426e+05 1.282015e+05 1.964455e+04 6.407544e+03 1.916468e+03 6.399599e+02 2.356090e+02 9.162327e+01 3.657309e+01 1.474737e+01 1.892214e+03 2.392082e+03 1.060145e+03 3.763029e+02 1.196919e+02 3.561084e+01 1.093510e+01 3.529707e+00 1.328688e+00 4.436310e-01 4.574734e+03 1.219451e+04 1.269491e+04 8.019181e+03 4.466052e+03 2.771370e+03 1.651095e+03 8.498742e+02 4.514279e+02 2.785358e+02 3.634873e+04 3.866292e+04 2.894388e+04 1.930046e+04 1.265674e+04 7.657114e+03 4.382135e+03 2.450387e+03 9.608982e+02 7.503162e+02 4.059463e-02 6.777678e-02 1.483320e+01 6.856041e+00 3.136073e+00 1.451305e+00 6.975524e-01 3.474319e-01 2.074141e-01 1.319569e-01 2.881894e+01 6.925350e+01 8.277708e+01 7.894436e+01 6.995188e+01 5.806480e+01 4.837156e+01 3.991545e+01 3.142639e+01 2.859459e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.318301e+02 1.631808e+02 1.165657e+02 8.165569e+01 5.833653e+01 3.499317e+01 2.329522e+01 2.329515e+01 1.164786e+01 1.164787e+01 1.411207e+05 5.682409e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 4.694027e+00 2.077900e-04 2.090226e-04 2.080511e-04 2.077900e-04 4.693147e+00 7.449770e-01 7.108153e-01 4.695379e+00 4.696259e+00 1.088621e+02 2.374603e-01 2.077912e-04 1.048923e+07 4.159122e+07 7.058254e-09
9.000000e+00 1.216894e+00 4.433466e+01 1.105394e+02 1.661963e+02 1.981718e+02 2.153025e+02 1.963420e+02 1.952714e+02 1.268958e+02 8.182492e+01 3.200424e+05 1.282015e+05 1.884198e+04 6.325352e+03 1.908886e+03 6.390154e+02 2.354449e+02 9.158492e+01 3.656165e+01 1.474338e+01 1.892226e+03 2.392114e+03 1.059683e+03 3.761380e+02 1.196353e+02 3.559512e+01 1.093035e+01 3.528183e+00 1.328116e+00 4.434424e-01 4.574611e+03 1.219426e+04 1.268716e+04 8.012697e+03 4.462929e+03 2.769552e+03 1.650052e+03 8.493505e+02 4.511530e+02 2.783670e+02 3.634650e+04 3.865045e+04 2.893499e+04 1.928341e+04 1.264926e+04 7.653710e+03 4.380511e+03 2.449571e+03 9.605969e+02 7.500882e+02 4.059551e-02 6.777718e-02 1.483320e+01 6.856041e+00 3.136073e+00 1.451304e+00 6.975521e-01 3.474316e-01 2.074137e-01 1.319565e-01 2.881833e+01 6.925321e+01 8.277620e+01 7.894375e+01 6.995125e+01 5.806441e+01 4.837121e+01 3.991523e+01 3.142626e+01 2.859448e+01 2.666649e+02 2.440086e+02 2.025123e+02 1.599312e+02 1.279449e+02 1.066208e+02 8.529662e+01 7.463455e+01 6.397247e+01 5.331039e+01 2.318516e+02 1.631923e+02 1.165670e+02 8.165467e+01 5.833581e+01 3.499291e+01 2.329512e+01 2.329504e+01 1.164784e+01 1.164785e+01 1.411202e+05 6.181243e+00 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 2.077899e-04 4.889233e+00 2.077900e-04 2.091947e-04 2.080855e-04 2.077900e-04 4.888696e+00 7.566454e-01 7.117093e-01 4.890757e+00 4.891751e+00 2.099048e+02 6.362284e-01 2.077913e-04 1.050170e+07 4.159538e+07 7.058261e-09
