Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 27.769361 536.153360 1384.896738 756.185723 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 10389496.526730 41557986.106920 0.000000 2122277142.529551 1.000000 1.000000 1.000000 1.000000 1.000000 1.107967 1.000000 1.013877 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 3.219808 0.240000
1.000000e+00 1339.602410 486382.243917 5896.923070 48103.088622 152496.077746 27.769360 536.148176 1384.896738 756.223127 1.979161 0.000208 0.000208 0.000208 0.000208 0.000208 1.222060 0.000208 0.000208 0.000208 0.000208 1.222258 0.705587 0.705613 1.222090 1.222110 1.543089 0.000619 0.000208 10401963.128702 41562140.468751 0.000000 4306624275.846579 0.999670 0.995134 0.999889 0.999548 0.999641 1.107966 0.999990 1.013877 1.000049 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.001200 1.000100 1.000000 2.029247 0.000053 0.000000 13.200000 0.428379 3.251513 0.000000
2.000000e+00 1339.163531 484635.508076 5896.259055 48081.408794 152441.296191 27.769358 536.143915 1384.896738 756.255262 1.979163 0.000208 0.000208 0.000208 0.000208 0.000208 2.079553 0.000208 0.000208 0.000208 0.000208 2.078332 0.708471 0.706256 2.079710 2.079812 2.761767 0.001313 0.000208 10414429.738473 41566294.881702 0.000000 4306658389.806047 0.999343 0.991561 0.999777 0.999098 0.999282 1.107966 0.999982 1.013877 1.000092 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.002400 1.000200 1.000000 2.029263 0.000053 0.000000 16.200000 0.856510 3.283018 0.000000
3.000000e+00 1338.724801 483076.679048 5895.595333 48059.747281 152386.567958 27.769357 536.139652 1384.896738 756.287388 141125.292646 0.000208 0.000208 0.000208 0.000208 0.000208 2.772866 0.000208 0.000208 0.000208 0.000208 2.771226 0.711967 0.706929 2.773200 2.773416 4.974294 0.002859 0.000208 10426896.354721 41570449.344742 0.000000 4306692360.562394 0.999016 0.988371 0.999664 0.998648 0.998923 1.107966 0.999974 1.013877 1.000134 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.003600 1.000300 1.000000 2.029279 0.000053 0.000000 17.200000 0.856014 3.314513 0.000000
4.000000e+00 1338.286224 481675.474229 5894.932332 48038.102614 152331.882659 27.769355 536.135434 1384.896738 756.319543 141125.692945 0.000208 0.000208 0.000208 0.000208 0.000208 3.333691 0.000208 0.000208 0.000208 0.000208 3.332108 0.716217 0.707635 3.334228 3.334576 9.027375 0.006421 0.000208 10439362.974955 41574603.856688 0.000000 4306726207.192919 0.998688 0.985504 0.999552 0.998198 0.998564 1.107966 0.999967 1.013877 1.000177 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.004800 1.000400 1.000000 2.029295 0.000053 0.000000 17.200000 0.855512 3.345997 0.000000
5.000000e+00 1337.847798 480407.863702 5894.269628 48016.474754 152277.240222 27.769354 536.131215 1384.896738 756.351690 141125.980078 0.000208 0.000208 0.000208 0.000208 0.000208 3.787665 0.000208 0.000209 0.000208 0.000208 3.786214 0.721398 0.708375 3.788415 3.788901 16.530320 0.014954 0.000208 10451829.593275 41578758.415672 0.000000 4306759945.247869 0.998361 0.982911 0.999439 0.997749 0.998206 1.107966 0.999959 1.013877 1.000219 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.006000 1.000500 1.000000 2.029311 0.000053 0.000000 17.200000 0.855005 3.377470 0.000000
6.000000e+00 1337.409524 479254.578492 5893.607220 47994.863667 152222.640572 27.769352 536.126996 1384.896738 756.383828 141126.168742 0.000208 0.000208 0.000208 0.000208 0.000208 4.155281 0.000208 0.000209 0.000208 0.000208 4.153932 0.727728 0.709150 4.156242 4.156866 30.590628 0.036213 0.000208 10464296.194834 41582913.017866 0.000000 4306793588.016805 0.998034 0.980551 0.999327 0.997300 0.997848 1.107966 0.999951 1.013877 1.000262 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.007200 1.000600 1.000000 2.029327 0.000053 0.000000 17.200000 0.854493 3.408932 0.000000
7.000000e+00 1336.971401 478199.958604 5892.945111 47973.269321 152168.083640 27.769351 536.122775 1384.896738 756.415957 141126.275649 0.000208 0.000208 0.000208 0.000208 0.000208 4.452967 0.000208 0.000209 0.000208 0.000208 4.451803 0.735476 0.709963 4.454130 4.454886 57.312042 0.091104 0.000208 10476762.740726 41587067.653930 0.000000 4306827148.018581 0.997707 0.978394 0.999215 0.996851 0.997491 1.107966 0.999943 1.013877 1.000304 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.008399 1.000700 1.000000 2.029342 0.000053 0.000000 17.200000 0.853975 3.440383 0.000000
8.000000e+00 1336.533430 477231.137289 5892.283301 47951.691687 152113.569352 27.769349 536.118553 1384.896738 756.448078 141126.336146 0.000208 0.000208 0.000208 0.000208 0.000208 4.694027 0.000208 0.000209 0.000208 0.000208 4.693147 0.744977 0.710815 4.695379 4.696259 108.862117 0.237460 0.000208 10489229.125507 41591222.298895 0.000000 4306860639.671357 0.997380 0.976411 0.999102 0.996402 0.997133 1.107966 0.999935 1.013877 1.000347 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.009599 1.000800 1.000000 2.029358 0.000053 0.000000 17.200000 0.853451 3.471824 0.000000
9.000000e+00 1336.095609 476337.438476 5891.621790 47930.130738 152059.097640 27.769348 536.114331 1384.896738 756.480190 141126.362908 0.000208 0.000208 0.000208 0.000208 0.000208 4.889233 0.000208 0.000209 0.000208 0.000208 4.888696 0.756645 0.711709 4.890757 4.891751 209.904779 0.636228 0.000208 10501695.060057 41595376.884004 0.000000 4306894083.247169 0.997053 0.974583 0.998990 0.995954 0.996776 1.107966 0.999927 1.013877 1.000389 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.010799 1.000900 1.000000 2.029374 0.000053 0.000000 17.200000 0.852921 3.503253 0.000000
