Time SB_juv_0_Migrating_Biomass(tonnes) SB_juv_0_Total_biomass(tonnes) SB_juv_0_Prop_Migrating SB_ad_0_Migrating_Biomass(tonnes) SB_ad_0_Total_biomass(tonnes) SB_ad_0_Prop_Migrating WHB_juv_0_Migrating_Biomass(tonnes) WHB_juv_0_Total_biomass(tonnes) WHB_juv_0_Prop_Migrating WHB_ad_0_Migrating_Biomass(tonnes) WHB_ad_0_Total_biomass(tonnes) WHB_ad_0_Prop_Migrating
0.000000e+00 0.000000e+00 1.083610e-01 0.000000e+00 5.412008e+01 2.766100e+01 1.956548e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.000000e+00 0.000000e+00 1.083625e-01 0.000000e+00 5.412008e+01 2.766100e+01 1.956548e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.000000e+00 0.000000e+00 1.083637e-01 0.000000e+00 5.412008e+01 2.766099e+01 1.956549e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
3.000000e+00 0.000000e+00 1.083650e-01 0.000000e+00 5.412008e+01 2.766099e+01 1.956549e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
4.000000e+00 0.000000e+00 1.083663e-01 0.000000e+00 5.412008e+01 2.766099e+01 1.956549e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.000000e+00 0.000000e+00 1.083676e-01 0.000000e+00 5.412008e+01 2.766099e+01 1.956549e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.000000e+00 0.000000e+00 1.083689e-01 0.000000e+00 5.412008e+01 2.766098e+01 1.956549e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.000000e+00 0.000000e+00 1.083701e-01 0.000000e+00 5.412008e+01 2.766098e+01 1.956550e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.000000e+00 0.000000e+00 1.083714e-01 0.000000e+00 5.412008e+01 2.766098e+01 1.956550e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
9.000000e+00 0.000000e+00 1.083727e-01 0.000000e+00 5.412008e+01 2.766098e+01 1.956550e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.000000e+01 0.000000e+00 1.083740e-01 0.000000e+00 5.412008e+01 2.766097e+01 1.956550e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.100000e+01 0.000000e+00 1.083753e-01 0.000000e+00 5.412008e+01 2.766097e+01 1.956550e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.200000e+01 0.000000e+00 1.083765e-01 0.000000e+00 5.412008e+01 2.766097e+01 1.956551e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.300000e+01 0.000000e+00 1.083778e-01 0.000000e+00 5.412008e+01 2.766096e+01 1.956551e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.400000e+01 0.000000e+00 1.083791e-01 0.000000e+00 5.412008e+01 2.766096e+01 1.956551e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.500000e+01 0.000000e+00 1.083804e-01 0.000000e+00 5.412008e+01 2.766096e+01 1.956551e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.600000e+01 0.000000e+00 1.083816e-01 0.000000e+00 5.412008e+01 2.766096e+01 1.956551e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.700000e+01 0.000000e+00 1.083829e-01 0.000000e+00 5.412008e+01 2.766095e+01 1.956552e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.800000e+01 0.000000e+00 1.083842e-01 0.000000e+00 5.412008e+01 2.766095e+01 1.956552e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
1.900000e+01 0.000000e+00 1.083855e-01 0.000000e+00 5.412008e+01 2.766095e+01 1.956552e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.000000e+01 0.000000e+00 1.083868e-01 0.000000e+00 5.412008e+01 2.766094e+01 1.956552e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.100000e+01 0.000000e+00 1.083882e-01 0.000000e+00 5.412008e+01 2.766094e+01 1.956552e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.200000e+01 0.000000e+00 1.083895e-01 0.000000e+00 5.412008e+01 2.766094e+01 1.956553e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.300000e+01 0.000000e+00 1.083909e-01 0.000000e+00 5.412008e+01 2.766094e+01 1.956553e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.400000e+01 0.000000e+00 1.083923e-01 0.000000e+00 5.412008e+01 2.766093e+01 1.956553e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.500000e+01 0.000000e+00 1.083936e-01 0.000000e+00 5.412008e+01 2.766093e+01 1.956553e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
2.600000e+01 0.000000e+00 1.083951e-01 0.000000e+00 5.412008e+01 2.766093e+01 1.956553e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
